52,The largest Japanese population outside of Japan stands at 1.6 million people who live in Brazil.
53,"IKEA is an acronym which stands for Ingvar Kamprad Elmtaryd Agunnaryd, which is the founder’s name, farm where he grew up, and hometown."
54,"In 2009, Stephen Hawking held a reception for time travelers, but didn’t publicize it until after. This way, only those who could time travel would be able to attend. Nobody else attended."
55,Violin bows are commonly made from horse hair.
56,There are less than 30 ships in the Royal Canadian Navy which is less than most third-world countries.
57,"Larry the Cable Guy’s real name is Daniel Lawrence Whitney. His notable Southern accent is fake – he was born and raised in the mid-west, not the South."
58,The youngest Pope in history was Pope Benedict IX who was 11 years old at the time of election. He is also the only person to have been the Pope more than once.
59,"In Svalbard, a remote Norwegian island, it is illegal to die."
60,"Costa Coffee employs Gennaro Pelliccia as a coffee taster, who has had his tongue insured for £10 million since 2009."
61,Johnny Cash took only three voice lessons before his teacher advised him to stop taking lessons and to never deviate from his natural voice.
62,"During the Prohibition era, the U.S. Government allowed Whiskey to be sold through pharmacies. As a result, Walgreens grew from 20 retail stores to almost 400."
63,People who post their fitness routine to Facebook are more likely to have psychological problems.
64,Medieval chastity belts are a myth. A great majority of examples now existing were made in the 18th and 19th centuries as jokes.
65,"Nowadays, millionaires with just $1 million isn’t considered wealthy anymore by most Americans. Now, the typical American sees at least $2.4 million as wealthy."
66,Hanna-Barbera pitched The Flintstones to networks for 8 weeks before it was finally picked up. It became the first ever animated show to air during primetime.
67,"In 1325, two Italian city states fought over a bucket which resulted in 2,000 deaths. It started when two soldiers stole a bucket from a well from the city center."
68,There’s no period in “Dr. Pepper”. It was removed because the old logo font made it look like “Di: Pepper”.
69,"There is an underwater version of rugby, unsurprisingly called “underwater rugby”."
70,"Standing around burns calories. On average, a 150 pound person burns 114 calories per hour while standing and doing nothing."
71,"Although GPS is free for the world to use, it costs $2 million per day to operate. The money comes from American tax revenue."
72,"In World War II, Germany tried to collapse the British economy by dropping millions of counterfeit bills over London."
73,"Playboy has been publishing braille versions of their magazines since 1970, however no pictorial representations are included."
74,"When Space Invaders was created, Tomohiro Nishikado left in the lag caused by more invaders on the screen in order to create greater difficulty in the games."
75,The color red doesn’t really make bulls angry; they are color-blind.
76,"65% of autistic kids are left-handed, and only 10% of people in general are left-handed."
77,Herring fish communicate by using flatulence.
78,"Until 2016, the “Happy Birthday” song was not for public use. Meaning, prior to 2016, the song was copyrighted and you had to pay a license to use it."
79,"When mice live in the wild, they typically only live for about six months."
80,There is a punctuation mark used to signify irony or sarcasm that looks like a backwards question mark ⸮
81,"During the cremation process of a 500 pound body, the corpse was so obese that it set the crematorium on fire."
82,"Researches have found that flossing your teeth can help your memory. Flossing prevents gum disease, which prevents stiff blood vessels, which cause memory issues."
83,"When George Washington died, Napoleon Bonaparte of France gave a personal eulogy and ordered a ten day mourning period for France."
84,"The Hobbit has been published in two editions. In the first edition, Gollum willingly bet on his ring in the riddle game."
85,"For nearly 60 years, Texas didn’t have an official state flag between 1879 & 1933. During that time, the Lone Star flag was the active, but unofficial flag."
86,"A wildlife technician, Richard Thomas, took the famous tongue twister, “how much wood would a woodchuck chuck if a woodchuck could chuck wood” and calculated a rough estimate of what the answer would actually be. It came out to be around 700 pounds."
87,Red Solo cups are a common souvenir to bring back from the United States. The novelty comes from the cups being used in many party scenes in movies.
88,Swedish meatballs originated from a recipe King Charles XII brought back from Turkey in the early 1800s.
89,Saint Lucia is the only country in the world named after a woman.
90,"Ben & Jerry’s has an online flavor graveyard for their 10 discontinued ice cream flavors. Each one has a photo, life span, and epitaph."
91,Scientists discovered sharks that are living in an active underwater volcano. Divers cannot investigate because they would get burns from the acidity and heat.
92,There are times when Pluto is closer to the Sun than Neptune – one of these timelines was from 1979 to 1999.
93,"There is a town in Nebraska called Monowi with a population of one. The only resident is a woman who is the Mayor, Bartender and Librarian."
94,The Ethiopian calendar is 7.5 years behind the Gregorian calendar due to the fact that it has 13 months.
95,"In 1994, the company who had a patent on GIFs tried to charge a fee for using GIFS. The PNG was invented as an alternative, and the company backed down."
96,China is spending $3 billion dollars to build panda shaped solar farms in order to get more young people interested in renewable energy.
97,"While hunting, stoats go crazy jumping, spinning, and twisting to get a rabbits attention. This hypnotizes the rabbit until the stoat gets close enough to attack."
98,The average American child is given $3.70 per tooth that falls out.
99,"To properly write adjectives in order, you would list them by amount, value, size, temperature, age, shape, color, origin, and material."
100,The scientific term for brain freeze is “sphenopalatine ganglioneuralgia”.
